Date,Value
08/17/11,10000.0
08/19/11,10000.0
08/21/11,10000.0
08/23/11,10000.0
08/25/11,10000.0
08/27/11,10000.0
08/29/11,10000.0
08/31/11,10000.0
09/02/11,10000.0
09/04/11,10000.0
09/06/11,10000.0
09/08/11,10000.0
09/10/11,10000.0
09/12/11,10000.0
09/14/11,10000.0
09/16/11,10000.0
09/18/11,10000.0
09/20/11,10000.0
09/22/11,10000.0
09/24/11,10000.0
09/26/11,10000.0
09/28/11,10000.0
09/30/11,10000.0
10/02/11,10000.0
10/04/11,10000.0
10/06/11,10000.0
10/08/11,10000.0
10/10/11,10000.0
10/12/11,10000.0
10/14/11,10000.0
10/16/11,10000.0
10/18/11,10000.0
10/20/11,10000.0
10/22/11,10000.0
10/24/11,10000.0
10/26/11,10000.0
10/28/11,10000.0
10/30/11,10000.0
11/01/11,10000.0
11/03/11,10000.0
11/05/11,10000.0
11/07/11,10000.0
11/09/11,10000.0
11/11/11,10000.0
11/13/11,10000.0
11/15/11,10000.0
11/17/11,10000.0
11/19/11,10000.0
11/21/11,10000.0
11/23/11,10000.0
11/25/11,10000.0
11/27/11,10000.0
11/29/11,10000.0
12/01/11,10000.0
12/03/11,10000.0
12/05/11,10000.0
12/07/11,10000.0
12/09/11,10000.0
12/11/11,10000.0
12/13/11,10000.0
12/15/11,10000.0
12/17/11,10000.0
12/19/11,10000.0
12/21/11,10000.0
12/23/11,10000.0
12/25/11,10000.0
12/27/11,10000.0
12/29/11,10000.0
12/31/11,10000.0
01/02/12,10000.0
01/04/12,10000.0
01/06/12,10000.0
01/08/12,10000.0
01/10/12,10000.0
01/12/12,10000.0
01/14/12,10000.0
01/16/12,10000.0
01/18/12,10000.0
01/20/12,10000.0
01/22/12,10000.0
01/24/12,10000.0
01/26/12,10000.0
01/28/12,10000.0
01/30/12,10000.0
02/01/12,10000.0
02/03/12,10000.0
02/05/12,10000.0
02/07/12,10000.0
02/09/12,10000.0
02/11/12,10000.0
02/13/12,10000.0
02/15/12,10000.0
02/17/12,10000.0
02/19/12,10000.0
02/21/12,10000.0
02/23/12,10000.0
02/25/12,10000.0
02/27/12,10000.0
02/29/12,10000.0
03/02/12,10000.0
03/04/12,10000.0
03/06/12,10000.0
03/08/12,10000.0
03/10/12,10000.0
03/12/12,10000.0
03/14/12,10000.0
03/16/12,10000.0
03/18/12,10000.0
03/20/12,10000.0
03/22/12,10000.0
03/24/12,10000.0
03/26/12,10000.0
03/28/12,10000.0
03/30/12,10000.0
04/01/12,10000.0
04/03/12,10000.0
04/05/12,10000.0
04/07/12,10000.0
04/09/12,10000.0
04/11/12,10000.0
04/13/12,10000.0
04/15/12,10000.0
04/17/12,10000.0
04/19/12,10000.0
04/21/12,10000.0
04/23/12,10000.0
04/25/12,10000.0
04/27/12,10000.0
04/29/12,10000.0
05/01/12,10000.0
05/03/12,10000.0
05/05/12,10000.0
05/07/12,10000.0
05/09/12,10000.0
05/11/12,10000.0
05/13/12,10000.0
05/15/12,10000.0
05/17/12,10000.0
05/19/12,10000.0
05/21/12,10000.0
05/23/12,10000.0
05/25/12,10000.0
05/27/12,10000.0
05/29/12,10000.0
05/31/12,10000.0
06/02/12,10000.0
06/04/12,10000.0
06/06/12,10000.0
06/08/12,10000.0
06/10/12,10000.0
06/12/12,10000.0
06/14/12,10000.0
06/16/12,10000.0
06/18/12,10000.0
06/20/12,10000.0
06/22/12,10000.0
06/24/12,10000.0
06/26/12,10000.0
06/28/12,10000.0
06/30/12,10000.0
07/02/12,10000.0
07/04/12,10000.0
07/06/12,10000.0
07/08/12,10000.0
07/10/12,10000.0
07/12/12,10000.0
07/14/12,10000.0
07/16/12,10000.0
07/18/12,10000.0
07/20/12,10000.0
07/22/12,10000.0
07/24/12,10000.0
07/26/12,10000.0
07/28/12,10000.0
07/30/12,10000.0
08/01/12,10000.0
08/03/12,10000.0
08/05/12,10000.0
08/07/12,10000.0
08/09/12,10000.0
08/11/12,10000.0
08/13/12,10000.0
08/15/12,10000.0
08/17/12,10000.0
08/19/12,10000.0
08/21/12,10000.0
08/23/12,10000.0
08/25/12,10000.0
08/27/12,10000.0
08/29/12,10000.0
08/31/12,10000.0
09/02/12,10000.0
09/04/12,10000.0
09/06/12,10000.0
09/08/12,10000.0
09/10/12,10000.0
09/12/12,10000.0
09/14/12,10000.0
09/16/12,10000.0
09/18/12,10000.0
09/20/12,10000.0
09/22/12,10000.0
09/24/12,10000.0
09/26/12,10000.0
09/28/12,10000.0
09/30/12,10000.0
10/02/12,10000.0
10/04/12,10000.0
10/06/12,10000.0
10/08/12,10000.0
10/10/12,10000.0
10/12/12,10000.0
10/14/12,10000.0
10/16/12,10000.0
10/18/12,10000.0
10/20/12,10000.0
10/22/12,10000.0
10/24/12,10000.0
10/26/12,10000.0
10/28/12,10000.0
10/30/12,10000.0
11/01/12,10000.0
11/03/12,10000.0
11/05/12,10000.0
11/07/12,10000.0
11/09/12,10000.0
11/11/12,10000.0
11/13/12,10000.0
11/15/12,10000.0
11/17/12,10000.0
11/19/12,10000.0
11/21/12,10000.0
11/23/12,10000.0
11/25/12,10000.0
11/27/12,10000.0
11/29/12,10000.0
12/01/12,10000.0
12/03/12,10000.0
12/05/12,10000.0
12/07/12,10000.0
12/09/12,10000.0
12/11/12,10000.0
12/13/12,10000.0
12/15/12,10000.0
12/17/12,10000.0
12/19/12,10000.0
12/21/12,10000.0
12/23/12,10000.0
12/25/12,10000.0
12/27/12,10000.0
12/29/12,10000.0
12/31/12,10000.0
01/02/13,10000.0
01/04/13,10000.0
01/06/13,10000.0
01/08/13,10000.0
01/10/13,10000.0
01/12/13,10000.0
01/14/13,10000.0
01/16/13,10000.0
01/18/13,10000.0
01/20/13,10000.0
01/22/13,10000.0
01/24/13,10000.0
01/26/13,10000.0
01/28/13,10000.0
01/30/13,10000.0
02/01/13,10000.0
02/03/13,10000.0
02/05/13,10000.0
02/07/13,10000.0
02/09/13,10000.0
02/11/13,10000.0
02/13/13,10000.0
02/15/13,10000.0
02/17/13,10000.0
02/19/13,10000.0
02/21/13,10000.0
02/23/13,10000.0
02/25/13,10000.0
02/27/13,10000.0
03/01/13,10000.0
03/03/13,10000.0
03/05/13,10000.0
03/07/13,10000.0
03/09/13,10000.0
03/11/13,10000.0
03/13/13,10000.0
03/15/13,10000.0
03/17/13,10000.0
03/19/13,10000.0
03/21/13,10000.0
03/23/13,10000.0
03/25/13,10000.0
03/27/13,10000.0
03/29/13,10000.0
03/31/13,10000.0
04/02/13,10000.0
04/04/13,10000.0
04/06/13,10000.0
04/08/13,10000.0
04/10/13,10000.0
04/12/13,10000.0
04/14/13,10000.0
04/16/13,10000.0
04/18/13,10000.0
04/20/13,10000.0
04/22/13,10000.0
04/24/13,10000.0
04/26/13,10000.0
04/28/13,10000.0
04/30/13,10000.0
05/02/13,10000.0
05/04/13,10000.0
05/06/13,10000.0
05/08/13,10000.0
05/10/13,10000.0
05/12/13,10000.0
05/14/13,10000.0
05/16/13,10000.0
05/18/13,10000.0
05/20/13,10000.0
05/22/13,10000.0
05/24/13,10000.0
05/26/13,10000.0
05/28/13,10000.0
05/30/13,10000.0
06/01/13,10000.0
06/03/13,10000.0
06/05/13,10000.0
06/07/13,10000.0
06/09/13,10000.0
06/11/13,10000.0
06/13/13,10000.0
06/15/13,10000.0
06/17/13,10000.0
06/19/13,10000.0
06/21/13,10000.0
06/23/13,10000.0
06/25/13,10000.0
06/27/13,10000.0
06/29/13,10000.0
07/01/13,10000.0
07/03/13,10000.0
07/05/13,10000.0
07/07/13,10000.0
07/09/13,10000.0
07/11/13,10000.0
07/13/13,10000.0
07/15/13,10000.0
07/17/13,10000.0
07/19/13,10000.0
07/21/13,10000.0
07/23/13,10000.0
07/25/13,10000.0
07/27/13,10000.0
07/29/13,10000.0
07/31/13,10000.0
08/02/13,10000.0
08/04/13,10000.0
08/06/13,10000.0
08/08/13,10000.0
08/10/13,10000.0
08/12/13,10000.0
08/14/13,10000.0
08/16/13,10000.0
08/18/13,10000.0
08/20/13,10000.0
08/22/13,10000.0
08/24/13,10000.0
08/26/13,10000.0
08/28/13,10000.0
08/30/13,10000.0
09/01/13,10000.0
09/03/13,10000.0
09/05/13,10000.0
09/07/13,10000.0
09/09/13,10000.0
09/11/13,10000.0
09/13/13,10000.0
09/15/13,10000.0
09/17/13,10000.0
09/19/13,10000.0
09/21/13,10000.0
09/23/13,10000.0
09/25/13,10000.0
09/27/13,10000.0
09/29/13,10000.0
10/01/13,10000.0
10/03/13,10000.0
10/05/13,10000.0
10/07/13,10000.0
10/09/13,10000.0
10/11/13,10000.0
10/13/13,10000.0
10/15/13,10000.0
10/17/13,10000.0
10/19/13,10000.0
10/21/13,10000.0
10/23/13,10000.0
10/25/13,10000.0
10/27/13,10000.0
10/29/13,10000.0
10/31/13,10000.0
11/02/13,10000.0
11/04/13,10000.0
11/06/13,10000.0
11/08/13,10000.0
11/10/13,10000.0
11/12/13,10000.0
11/14/13,10000.0
11/16/13,10000.0
11/18/13,10000.0
11/20/13,10000.0
11/22/13,10000.0
11/24/13,10000.0
11/26/13,10000.0
11/28/13,10000.0
11/30/13,10000.0
12/02/13,10000.0
12/04/13,10000.0
12/06/13,10000.0
12/08/13,10000.0
12/10/13,10000.0
12/12/13,10000.0
12/14/13,10000.0
12/16/13,10000.0
12/18/13,10000.0
